"Item","Cond","ProductionPercentage","AssociationRating","InferenceRating","CoherenceRating","ContextSentence","ContextEvent","TargetSentence","Target","Continuation","InferenceType","InferenceQuestion","NegationType","TargetVerb","ProductionQuestion","ProductionList","ProductionResponsesAll","ProductionFreqList"
24,"D",NA,6.2,3.9,1.6,"Die Ehefrau ist nie","erkrankt.","Sie sagt, dass das","Virus","wohl leider anhaltende gesundheitliche Probleme verursacht hat.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Ehefrau infiziert hat?","nie","sagen",NA,NA,NA,NA
25,"A",0.4,6.2,6.6,6.6,"Letzte Woche hatte die Tochter","eine Grippe.","Ihre Mutter vergewisserte sich, dass das","Fieber","nach ein paar Tagen endlich sank.","consequence","Für wie wahrscheinlich halten Sie es, dass die Tochter eine Grippe hatte?","nie","sich vergewissern","Jemand hatte eine Grippe.",1,"Krankheit, Erkältung, Schnupfen - Fieber, Sofa, Decke - Krankheit, Fieber, Bett - Schnupfen, Krankheit, Arzt - Virus, Husten, Schnupfen - Krankheit, Fieber, Erkältung, - Corona, Schnupfen, Husten, Hustensaft, Medikamente, Taschentücher, Tee - Krankheit, Fieber, Arbeit - Krankheit, Taschentuch, Tee - Krankheit, Zuhause, Arzt - Spanisch, Winter, Kalt, Krank - Krankheit, Medizin, Arzt - Vitamin, Tee, Suppe - Husten, Schnupfen, Fieber - Krankheit, Fieber, Gliederschmerzen, Bett, Ruhe","Krankheit 9 Fieber 6 Schnupfen 5 Arzt 3 Husten 3 Tee 3 Bett 2 Erkältung 2 Arbeit 1 Corona 1 Decke 1 Gliederschmerzen 1 Hustensaft 1 Kalt 1 Krank 1 Medikamente 1 Medizin 1 Ruhe 1 Sofa 1 Spanisch 1 Suppe 1 Taschentuch 1 Taschentücher 1 Virus 1 Vitamin 1 Winter 1 Zuhause 1"
25,"B",0,5.7,5,6.4,"Letzte Woche hatte die Tochter","Beschwerden.","Ihre Mutter vergewisserte sich, dass das","Fieber","nach ein paar Tagen endlich sank.","consequence","Für wie wahrscheinlich halten Sie es, dass die Tochter eine Grippe hatte?","nie","sich vergewissern","Jemand hatte Beschwerden.",2,"Probleme, Schmerzen, Medikamente - Schmerz, Körper, Leiden - Schmerzen, Alter, Arzt - Krankheit, Schmerzen, Unwohlsein - Arzt, Krankheit, Schmerzen - Tabletten, Schmerzen, Ruhe - Patient, Krankheitsbild, Symptome - Alter, Behinderung, Arztpraxis, Hilfe - Gesundheit, Arbeitsklima, Chef - Allergie, Verdauung, Ordnungsamt - Schmerzen, Medikamente, Arzt - Knie, Rücken, Schluckbeschwerden, Schmerzen - Krankheit, Arzt, Krankenhaus, Behandlung - Krankheit, Darm, Kopf - Schmerz, Arzt, Alter, Krankheit","Schmerzen 7 Arzt 5 Krankheit 5 Alter 3 Medikamente 2 Schmerz 2 Allergie 1 Arbeitsklima 1 Arztpraxis 1 Behandlung 1 Behinderung 1 Chef 1 Darm 1 Gesundheit 1 Hilfe 1 Knie 1 Kopf 1 Körper 1 Krankenhaus 1 Krankheitsbild 1 Leiden 1 Ordnungsamt 1 Patient 1 Probleme 1 Rücken 1 Ruhe 1 Schluckbeschwerden 1 Symptome 1 Tabletten 1 Unwohlsein 1 Verdauung 1"
25,"C",NA,6.2,4.2,1.8,"Die Tochter hatte nie","eine Grippe.","Ihre Mutter vergewisserte sich, dass das","Fieber","nach ein paar Tagen endlich sank.","consequence","Für wie wahrscheinlich halten Sie es, dass die Tochter eine Grippe hatte?","nie","sich vergewissern",NA,NA,NA,NA
25,"D",NA,5.7,4.7,2.1,"Die Tochter hatte nie","Beschwerden.","Ihre Mutter vergewisserte sich, dass das","Fieber","nach ein paar Tagen endlich sank.","consequence","Für wie wahrscheinlich halten Sie es, dass die Tochter eine Grippe hatte?","nie","sich vergewissern",NA,NA,NA,NA
26,"A",0.67,7,6.9,6.7,"Am Montag hatten sich die Forscher","unterhalten.","Sie bemerkten, dass das","Gespräch","weit über zwei Stunden gedauert hatte.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Forscher unterhalten haben?","niemals","bemerken","Jemand hat sich unterhalten.",2,"Witz, Flirten, Gespräch - Gespräch, Personen, Abend - Lautstärke, Konversation, Thema - Mann, Frau, Dialog - Konversation, Frage, Diskussion - Gespräch, Personen, Smalltalk - Gespräch, Kommunikation, Neuigkeiten - Gespräch, Freunde, Personen - Gespräch, Interview, Neuigkeiten - Gespräch, Menschen, Kommunikation - Witz, Sekt, Empfang - Freund, Familie, Arbeitskollege - Gespräch, Menschen, Meeting - Gespräch, Dialog, Monolog, Thema - Gespräch, Treffen, Freunde","Gespräch 10 Personen 3 Dialog 2 Freunde 2 Kommunikation 2 Konversation 2 Menschen 2 Neuigkeiten 2 Thema 2 Witz 2 Abend 1 Arbeitskollege 1 Diskussion 1 Empfang 1 Familie 1 Flirten 1 Frage 1 Frau 1 Freund 1 Interview 1 Lautstärke 1 Mann 1 Meeting 1 Monolog 1 Sekt 1 Smalltalk 1 Treffen 1"
26,"B",0.13,6,6.9,6,"Am Montag hatten sich die Forscher","kennengelernt.","Sie bemerkten, dass das","Gespräch","weit über zwei Stunden gedauert hatte.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Forscher unterhalten haben?","niemals","bemerken","Jemand hat sich kennengelernt.",1,"Treffen, Rendevous, Gespräch - Lieber, Internet, Date - Treffen, Liebe, Sex - Kneipe, Fluestern, Nacht - Date, Flirt, Restaurant - Freunde, Kontakt, Kaffee - Vorstellung, Name, Begrüßung - Freundschaft, Liebe, Begengung - Menschen, Treffen, Gespräch - Erleuchtung, Selbstreflexion, Heilung - Bistro, Blumen, Weinflasche - Date, Freunde, Neues - Date, Kaffee, Cafe, Spiegel - Liebe, Date, Freundin - Date, Freundschaft, Liebe","Date 6 Liebe 4 Treffen 3 Freunde 2 Freundschaft 2 Gespräch 2 Kaffee 2 Begengung 1 Begrüßung 1 Bistro 1 Blumen 1 Cafe 1 Erleuchtung 1 Flirt 1 Fluestern 1 Freundin 1 Heilung 1 Internet 1 Kneipe 1 Kontakt 1 Lieber 1 Menschen 1 Nacht 1 Name 1 Neues 1 Rendevous 1 Restaurant 1 Selbstreflexion 1 Sex 1 Spiegel 1 Vorstellung 1 Weinflasche 1"
26,"C",NA,7,3.7,1.8,"Die Forscher hatten sich niemals","unterhalten.","Sie bemerkten, dass das","Gespräch","weit über zwei Stunden gedauert hatte.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Forscher unterhalten haben?","niemals","bemerken",NA,NA,NA,NA
26,"D",NA,6,5,1.7,"Die Forscher hatten sich niemals","kennengelernt.","Sie bemerkten, dass das","Gespräch","weit über zwei Stunden gedauert hatte.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Forscher unterhalten haben?","niemals","bemerken",NA,NA,NA,NA
27,"A",0.07,6.8,5.7,5.8,"Am Morgen hat der Anwalt den Zeugen","angerufen.","Der Zeuge stellte fest, dass das","Telefonat","offensichtlich der Einschüchterung gedient hatte.","consequence","Für wie wahrscheinlich halten Sie es, dass der Anwalt den Zeugen angerufen hat?","kein+jemals","feststellen","Jemand hat jemanden angerufen.",1,"Telefon, Wand, Handy - Telefon, Hörer, Freund - Telefon, Handy, Nummer - Telefon, Polizei, Nummer - Telefon, Klingelton, Handy - Gespräch, Telefon, Handy - Telefon, Handy, Gespräch - Telefon, Austausch, Klingeln - Telefon, Freunde, Familie - Kontakt, Information, Handy - Telefon, Sprechapparat, Meldung, - Handy, Nerven, Termin, Besprechung, Klingeln - Telefon, Haustür, Flur - Telefonat, Handy, Festnetz - Telefon, Kontakt, Anfrage","Telefon 12 Handy 8 Gespräch 2 Klingeln 2 Kontakt 2 Nummer 2 Anfrage 1 Austausch 1 Besprechung 1 Familie 1 Festnetz 1 Flur 1 Freund 1 Freunde 1 Haustür 1 Hörer 1 Information 1 Klingelton 1 Meldung 1 Nerven 1 Polizei 1 Sprechapparat 1 Telefonat 1 Termin 1 Wand 1"
27,"B",0,6.5,6.3,6.1,"Am Morgen hat der Anwalt den Zeugen","kontaktiert.","Der Zeuge stellte fest, dass das","Telefonat","offensichtlich der Einschüchterung gedient hatte.","consequence","Für wie wahrscheinlich halten Sie es, dass der Anwalt den Zeugen angerufen hat?","kein+jemals","feststellen","Jemand hat jemanden kontaktiert.",2,"Telefon, Gespräch, Email - Telefon, Email, Stammbaum - Anruf, Telefon, Besprechung - Anruf, Personen, Nachricht - Telefon, Adresse, Brief - Telefon, E-mail, Fax - Telefon, Chat, Video, E-Mail - Anruf, Telefon, Facebook, E-Mail - Telefon, Email, Brief - Anruf, Nachricht, Begruessung - Telefon, Brief, Vereinen - Telefon, Anzeige, Bewerbung - Handy, Telefon, Emailadresse, Internet - Handy, Brief, Email - Kundenservice, Anruf, E-Mail","Telefon 11 Anruf 5 Email 5 Brief 4 EMail 3 Handy 2 Nachricht 2 Adresse 1 Anzeige 1 Begruessung 1 Besprechung 1 Bewerbung 1 Chat 1 Emailadresse 1 Facebook 1 Fax 1 Gespräch 1 Internet 1 Kundenservice 1 Personen 1 Stammbaum 1 Vereinen 1 Video 1"
27,"C",NA,6.8,2.4,1.5,"Kein Anwalt hat jemals den Zeugen","angerufen.","Der Zeuge stellte fest, dass das","Telefonat","offensichtlich der Einschüchterung gedient hatte.","consequence","Für wie wahrscheinlich halten Sie es, dass ein Anwalt den Zeugen angerufen hat?","kein+jemals","feststellen",NA,NA,NA,NA
27,"D",NA,6.5,3.5,2.1,"Kein Anwalt hat jemals den Zeugen","kontaktiert.","Der Zeuge stellte fest, dass das","Telefonat","offensichtlich der Einschüchterung gedient hatte.","consequence","Für wie wahrscheinlich halten Sie es, dass ein Anwalt den Zeugen angerufen hat?","kein+jemals","feststellen",NA,NA,NA,NA
29,"A",0.47,6.7,7,6.8,"Endlich wurde der Täter","verhaftet.","Der Kommissar sorgte dafür, dass die","Handschellen","sofort um seine Handgelenke befestigt wurden.","instrument","Für wie wahrscheinlich halten Sie es, dass der Täter verhaftet wurde?","niemals","sorgen für","Jemand wurde verhaftet.",1,"Haft, Gefängnis, Richter, Urteil - Straftat, Polizei, Gericht - Polizei, Zelle, Polizeiwagen, - Handschellen, Polizei, Richter, Dieb, Kiosk - Handschellen, Polizeiauto, Blaulicht - Richter, Gefängnis, Verhandlung - Kriminalität, Verbrecher, Polizei - Dieb, Polizei, Anzeige - Polizei, Gefängnis, Richter - Handschellen, Polizei, Gefahr - Handschellen, Polizei, Anwalt - Handschellen, Polizei, Gefaengnis - Gefängnis, Handschellen, Polizeiauto - Dieb, Polizei, Gefängnis, Untersuchungshaft - Polizei, Verbrechen, Handschellen","Polizei 11 Handschellen 7 Gefängnis 5 Richter 4 Dieb 3 Polizeiauto 2 Anwalt 1 Anzeige 1 Blaulicht 1 Gefaengnis 1 Gefahr 1 Gericht 1 Haft 1 Kiosk 1 Kriminalität 1 Polizeiwagen 1 Straftat 1 Untersuchungshaft 1 Urteil 1 Verbrechen 1 Verbrecher 1 Verhandlung 1 Zelle 1"
29,"B",0,3.9,6.8,6.8,"Endlich wurde der Täter","gefunden.","Der Kommissar sorgte dafür, dass die","Handschellen","sofort um seine Handgelenke befestigt wurden.","instrument","Für wie wahrscheinlich halten Sie es, dass der Täter verhaftet wurde?","niemals","sorgen für","Jemand wurde gefunden.",2,"Tod, Vermisstenanzeige, Suchhund - Vermisstenanzeige, Suche, Erleichterung - Vermisster, Flüchtiger, Täter - Detektiv, Opfer, Suche - Erleichterung, Aufatmen, Ende - Polizei, Anzeige, Wald - Suche, Lupe, Karte - Verschollener, Glück, Freude - Versteck, Suche, Erleichterung - Aufgespürt, Suche, Erleichterung - Hund, Suche, Wald - Vermisstenmeldung, Kind, Entführung - Kind, Wald, Erleichterung, Polizei, Suchhund - Leiche, Krimi, Täter - Hund, Katze, Kind","Suche 6 Erleichterung 5 Kind 3 Wald 3 Hund 2 Polizei 2 Suchhund 2 Täter 2 Vermisstenanzeige 2 Anzeige 1 Aufatmen 1 Aufgespürt 1 Detektiv 1 Ende 1 Entführung 1 Flüchtiger 1 Freude 1 Glück 1 Karte 1 Katze 1 Krimi 1 Leiche 1 Lupe 1 Opfer 1 Tod 1 Vermisstenmeldung 1 Vermisster 1 Verschollener 1 Versteck 1"
29,"C",NA,6.7,3.5,1.1,"Der Täter wurde niemals","verhaftet.","Der Kommissar sorgte dafür, dass die","Handschellen","sofort um seine Handgelenke befestigt wurden.","instrument","Für wie wahrscheinlich halten Sie es, dass der Täter verhaftet wurde?","niemals","sorgen für",NA,NA,NA,NA
29,"D",NA,3.9,2.7,1,"Der Täter wurde niemals","gefunden.","Der Kommissar sorgte dafür, dass die","Handschellen","sofort um seine Handgelenke befestigt wurden.","instrument","Für wie wahrscheinlich halten Sie es, dass der Täter verhaftet wurde?","niemals","sorgen für",NA,NA,NA,NA
31,"A",0.2,6.6,6.8,6.5,"Letztes Jahr wurde der Manager","inhaftiert.","Er erzählte, dass die","Zelle","wirklich sehr klein war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Manager inhaftiert wurde?","niemals","erzählen","Jemand wurde inhaftiert.",1,"Polizei, Gewalt, Strafe - Gefängnis, Polizei, Handschellen - Gefängnis, Beamte, Handschellen - Knast, Gefängnis, Handschellen, Pistole - Gefängnis, Handschellen, Overall - Polizei, Haft, Strafe - Mann, Gefängnis, Zelle - Straftäter, Richter, Handschellen, Gitter, Schloss - Haft, Polizei, Kriminalität, Gefängnis - Gefängnis, Gericht, Straftat - Zelle, Polizei, Verbrechen, Friedensbruch, - Gefängnis, Polizei, Zelle - Gitter, Gefängniskleidung, Kugel - Haft, Gefängnis, Räuber - Gefängnis, Polizei, Gericht","Gefängnis 10 Polizei 7 Handschellen 5 Haft 3 Zelle 3 Gericht 2 Gitter 2 Strafe 2 Beamte 1 Friedensbruch 1 Gefängniskleidung 1 Gewalt 1 Knast 1 Kriminalität 1 Kugel 1 Mann 1 Overall 1 Pistole 1 Räuber 1 Richter 1 Schloss 1 Straftat 1 Straftäter 1 Verbrechen 1"
31,"B",0,5.9,6.6,5.7,"Letztes Jahr wurde der Manager","gefasst.","Er erzählte, dass die","Zelle","wirklich sehr klein war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Manager inhaftiert wurde?","niemals","erzählen","Jemand wurde gefasst.",2,"Schuld, Tat, Polizei - Polizei, Diebstahl, Handschelle - Straftäter, Polizei, Gefängnis - Dieb, Polizei, Verbrechen - Dieb, Polizei, Verrat - Handschellen, Auto, Haftbefehl - Täter, Straftäter, Verbrecher, Flüchtiger - Dieb, Polizei, Suchhund, Diebstahl - Verbrechen, Festnahme, Strafe - Poilzei, Handschellen, Gefängnis - Strafanzeige, Fesseln, Strafe - Täter, Flüchtiger, Verdächtiger - Dieb, Verfolgung, Jagd - Polizei, Mord, Jagd - Polizei, Handschellen, Pistole","Polizei 8 Dieb 4 Handschellen 3 Diebstahl 2 Flüchtiger 2 Gefängnis 2 Jagd 2 Strafe 2 Straftäter 2 Täter 2 Verbrechen 2 Auto 1 Fesseln 1 Festnahme 1 Haftbefehl 1 Handschelle 1 Mord 1 Pistole 1 Poilzei 1 Schuld 1 Strafanzeige 1 Suchhund 1 Tat 1 Verbrecher 1 Verdächtiger 1 Verfolgung 1 Verrat 1"
31,"C",NA,6.6,4,1.7,"Der Manager wurde niemals","inhaftiert.","Er erzählte, dass die","Zelle","wirklich sehr klein war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Manager inhaftiert wurde?","niemals","erzählen",NA,NA,NA,NA
31,"D",NA,5.9,3,1,"Der Manager wurde niemals","gefasst.","Er erzählte, dass die","Zelle","wirklich sehr klein war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Manager inhaftiert wurde?","niemals","erzählen",NA,NA,NA,NA
34,"A",0.07,7,6.5,6.6,"In den Ferien ging der Mechaniker","Ski fahren.","Er bemerkte, dass die","Piste","diesmal viel voller war als im Vorjahr.","instrument","Für wie wahrscheinlich halten Sie es, dass der Mechaniker Ski fahren ging?","niemals","bemerken","Jemand ging Ski fahren.",2,"Schnee, Sonne, Helm - Schnee, Lift, Kakao - Helikopter, Reichtum, Wahnwitz - Unfall, Hubschrauber, Schnee - Schulklasse, Studenten, Abschlussfahrt - Skiurlaub, Berg, Schnee, Spaß - Schnee, Berg, Gefälle - Winter, Sonne, Schnee - Alpen, Berge, Schnee, Snowboard - Berg, Schnee, Sonne - Sport, Schnee, Spaß - Winter, Mütze, Schnee - Schnee, Piste, Winterjacke - Berge, Alpen, Winter, Schnee - Ski, Berg, Sesselbahn, Skischuhe","Schnee 12 Berg 4 Sonne 3 Winter 3 Alpen 2 Berge 2 Spaß 2 Abschlussfahrt 1 Gefälle 1 Helikopter 1 Helm 1 Hubschrauber 1 Kakao 1 Lift 1 Mütze 1 Piste 1 Reichtum 1 Schulklasse 1 Sesselbahn 1 Ski 1 Skischuhe 1 Skiurlaub 1 Snowboard 1 Sport 1 Studenten 1 Unfall 1 Wahnwitz 1 Winterjacke 1"
34,"B",0,5.9,6,6.5,"In den Ferien ging der Mechaniker","in die Berge.","Er bemerkte, dass die","Piste","diesmal viel voller war als im Vorjahr.","instrument","Für wie wahrscheinlich halten Sie es, dass der Mechaniker Ski fahren ging?","niemals","bemerken","Jemand ging in die Berge.",1,"Schuhe, Aussicht, Picknick - Kletterer, Wanderer, Ausrüstung, - Wanderung, Urlaub, Freizeit - Alm, Wanderung, Hütte, Luft - Alpen, Schuhe, Freiheit - Abenteuer, Ausrüstung, Sport - Wandern, Natur, Wildniss, Luft - Schuhe, Wanderung, Stein - Wandern, Alpen, Stock - Wanderung, Schuhe, Gipfel - Wanderung, Berggipfel, Hütte - Rucksack, Wanderschuhe, Wanderhut, Sicherheitsgurt, Schnee - Berg, Hut, Stock - Wandern, Bergsteigen, Schuhe - Wanderschuhe, Wanderstöcke, Bewegung","Schuhe 5 Wanderung 5 Wandern 3 Alpen 2 Ausrüstung 2 Hütte 2 Luft 2 Stock 2 Wanderschuhe 2 Abenteuer 1 Alm 1 Aussicht 1 Berg 1 Berggipfel 1 Bergsteigen 1 Bewegung 1 Freiheit 1 Freizeit 1 Gipfel 1 Hut 1 Kletterer 1 Natur 1 Picknick 1 Rucksack 1 Schnee 1 Sicherheitsgurt 1 Sport 1 Stein 1 Urlaub 1 Wanderer 1 Wanderhut 1 Wanderstöcke 1 Wildniss 1"
34,"C",NA,7,2.1,1.1,"Der Mechaniker ging niemals","Ski fahren.","Er bemerkte, dass die","Piste","diesmal viel voller war als im Vorjahr.","instrument","Für wie wahrscheinlich halten Sie es, dass der Mechaniker Ski fahren ging?","niemals","bemerken",NA,NA,NA,NA
34,"D",NA,5.9,4.1,1.3,"Der Mechaniker ging niemals","in die Berge.","Er bemerkte, dass die","Piste","diesmal viel voller war als im Vorjahr.","instrument","Für wie wahrscheinlich halten Sie es, dass der Mechaniker Ski fahren ging?","niemals","bemerken",NA,NA,NA,NA
35,"A",0.47,5.8,6.3,6.4,"Letztes Jahr","machte der Eisverkäufer seiner Kollegin einen Antrag.","Er erzählt, dass die","Hochzeit","in einer mittelalterlichen Kapelle stattfand.","consequence","Für wie wahrscheinlich halten Sie es, dass der Eisverkäufer seiner Kollegin einen Antrag gemacht hat?","niemals","erzählen","Jemand hat jemandem einen Antrag gemacht.",1,"Heirat, Ring, Abend - Ring, Pärchen, Hochzeit - Ehe, Kniefall, Ring - Hochzeit, Verlobung, Liebe - Ring, Verlobung, Knie - Liebe, Heirat, Hochzeit - Heirat, Ehe, Knie, Ring - Heirat, Liebe, Paar - Blumen, Ring, Lachs - Tränen, Ring, Hochzeit - Hochzeit, Verliebtheit, Beziehung, - Hochzeit, Eheringe, Liebe, Beziehung, Scheidung - Heirat, Freude, Anzug, Ring - Hochzeit, Ringe, Romantik, Abendessen, Kerzen - Verlobung, Ring, Rose","Ring 9 Hochzeit 7 Heirat 5 Liebe 4 Verlobung 3 Beziehung 2 Ehe 2 Knie 2 Abend 1 Abendessen 1 Anzug 1 Blumen 1 Eheringe 1 Freude 1 Kerzen 1 Kniefall 1 Lachs 1 Paar 1 Pärchen 1 Ringe 1 Romantik 1 Rose 1 Scheidung 1 Tränen 1 Verliebtheit 1"
35,"B",0,5.6,6.4,5.9,"Letztes Jahr","gestand der Eisverkäufer seiner Kollegin seine Liebe.","Er erzählt, dass die","Hochzeit","in einer mittelalterlichen Kapelle stattfand.","consequence","Für wie wahrscheinlich halten Sie es, dass der Eisverkäufer seiner Kollegin einen Antrag gemacht hat?","niemals","erzählen","Jemand hat jemandem seine Liebe gestanden.",2,"Beziehungen, Antrag, Freund - Brief, Stift, Papier - Paar, Verbundenheit, Glück - Mut, Liebe, Vertrauen - Hoffnung, Rosen, Enttäuschung, Überraschung - Aufregung, Freude, Umarmung - Liebe, Paar, Romantik, Partnerschaft - Beziehung, Enttäuschung, Gefühle - Herz, Glück, Freude, Nervosität - Geständnis, Date, Gegenseitigkeit, Emotionen - Mut, Enttäuschung, Erleichterung - Beziehung, Hoffnung, Zukunft - Mut, Erleichterung, Gefühle - Herzklopfen, Röte, Beziehung - Frau, Mann, Blumen","Beziehung 3 Enttäuschung 3 Mut 3 Erleichterung 2 Freude 2 Gefühle 2 Glück 2 Hoffnung 2 Liebe 2 Paar 2 Antrag 1 Aufregung 1 Beziehungen 1 Blumen 1 Brief 1 Date 1 Emotionen 1 Frau 1 Freund 1 Gegenseitigkeit 1 Geständnis 1 Herz 1 Herzklopfen 1 Mann 1 Nervosität 1 Papier 1 Partnerschaft 1 Romantik 1 Rosen 1 Röte 1 Stift 1 Überraschung 1 Umarmung 1 Verbundenheit 1 Vertrauen 1 Zukunft 1"
35,"C",NA,5.8,1.4,2.5,"Der Eisverkäufer","machte seiner Kollegin niemals einen Antrag.","Er erzählt, dass die","Hochzeit","in einer mittelalterlichen Kapelle stattfand.","consequence","Für wie wahrscheinlich halten Sie es, dass der Eisverkäufer seiner Kollegin einen Antrag gemacht hat?","niemals","erzählen",NA,NA,NA,NA
35,"D",NA,5.6,1.8,1.1,"Der Eisverkäufer","gestand seiner Kollegin niemals seine Liebe.","Er erzählt, dass die","Hochzeit","in einer mittelalterlichen Kapelle stattfand.","consequence","Für wie wahrscheinlich halten Sie es, dass der Eisverkäufer seiner Kollegin einen Antrag gemacht hat?","niemals","erzählen",NA,NA,NA,NA
37,"A",0.6,6.7,7,6.6,"Dieses Jahr hat die Künstlerin ihr Bild","verkauft.","Sie verkündete, dass das","Geld","für eine neue Staffelei reichte.","consequence","Für wie wahrscheinlich halten Sie es, dass die Künstlerin ihr Bild verkauft hat?","niemals","verkünden","Jemand hat etwas verkauft.",1,"Haus, Grundstück, Anzeige - Verkäufer, Preis, Kasse - Ebay, Online, Geschäftssinn - Laden, Geld, Kasse, - Geld, Münzen, Gegenstand, Profit, Kapitalismus - Auto, Geld, Parkplatz - Ebay, Auktion, Handel - Geld, Preis, Ware - Geld, Gegenstand, Vertrag - Geld, Geschäft, Deal - Markt, Handel, Geld - Geschäft, Ebay, Klamotten - Geld, Kasse, Tisch - Preis, Handel, Markt - Auto, Gemüse, Käufer, Geld","Geld 9 Ebay 3 Handel 3 Kasse 3 Preis 3 Auto 2 Gegenstand 2 Geschäft 2 Markt 2 Anzeige 1 Auktion 1 Deal 1 Gemüse 1 Geschäftssinn 1 Grundstück 1 Haus 1 Kapitalismus 1 Käufer 1 Klamotten 1 Laden 1 Münzen 1 Online 1 Parkplatz 1 Profit 1 Tisch 1 Verkäufer 1 Vertrag 1 Ware 1"
37,"B",0.07,4.6,6.4,6.9,"Dieses Jahr ist die Künstlerin ihr Bild","losgeworden.","Sie verkündete, dass das","Geld","für eine neue Staffelei reichte.","consequence","Für wie wahrscheinlich halten Sie es, dass die Künstlerin ihr Bild verkauft hat?","niemals","verkünden","Jemand ist etwas losgeworden.",2,"Last, Ballast, Gewicht - Müll, Waffe, Person - Verschenken, Verkaufen, Flohmarkt - Unschuld, Partner, Ehepartner - Müll, Gartenabfälle, Leiche - Müll, Sack, Deponie, AWB - Versteigerung, Geld, Versand - Verlust, Befreiung, Ablehnung - Müll, Wahrheit, Gespräch - Müll, Ausschlag, Gerümpel, Ebay - Lästig, Befreiend, Positiv - Flohmarkt, Verkauf, Gegenstand - Abfall, Mülleimer, Erlösung - Müll, Verkauf, Flohmarkt - Beziehung, Müll, Ballast","Müll 7 Flohmarkt 3 Ballast 2 Verkauf 2 Abfall 1 Ablehnung 1 Ausschlag 1 AWB 1 Befreiend 1 Befreiung 1 Beziehung 1 Deponie 1 Ebay 1 Ehepartner 1 Erlösung 1 Gartenabfälle 1 Gegenstand 1 Geld 1 Gerümpel 1 Gespräch 1 Gewicht 1 Last 1 Lästig 1 Leiche 1 Mülleimer 1 Partner 1 Person 1 Positiv 1 Sack 1 Unschuld 1 Verkaufen 1 Verlust 1 Versand 1 Verschenken 1 Versteigerung 1 Waffe 1 Wahrheit 1"
37,"C",NA,6.7,1.4,1.3,"Die Künstlerin hat ihr Bild niemals","verkauft.","Sie verkündete, dass das","Geld","für eine neue Staffelei reichte.","consequence","Für wie wahrscheinlich halten Sie es, dass die Künstlerin ihr Bild verkauft hat?","niemals","verkünden",NA,NA,NA,NA
37,"D",NA,4.6,2.3,1.7,"Die Künstlerin ist ihr Bild niemals","losgeworden.","Sie verkündete, dass das","Geld","für eine neue Staffelei reichte.","consequence","Für wie wahrscheinlich halten Sie es, dass die Künstlerin ihr Bild verkauft hat?","niemals","verkünden",NA,NA,NA,NA
38,"A",0.33,6.6,6.1,6.7,"Letzte Woche wurde im Dorf ein Jugendlicher","entführt.","Der Fernsehsender berichtet, dass das","Lösegeld","sofort von der Familie gezahlt worden war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Jugendliche entführt wurde?","kein+jemals","berichten","Jemand wurde entführt.",2,"Gewalt, Folter, Strafe - Geisel, Unternehmer, Tochter - Suche, Freiheitsberaubung, Lösegeld - Opfer, Verbrecher, Lösegeld - Kind, Frau, Lösegeld - Kidnapper, Auto, Erpressungsgeld - Sack, Transporter, Film - Geisel, Keller, Kette - Gefahr, Hilfe, Angst - Kidnapping, Lösegeld, Drohung, Erpressung - Lösegeld, Verbrecher, Versteck - Entführung, Geiselnahme, Polizei - Van, Geisel, Erpressung - Entführung, Kidnapping, Diebstahl - Knebel, Seil, Klebeband, Lieferwagen","Lösegeld 5 Geisel 3 Entführung 2 Erpressung 2 Kidnapping 2 Verbrecher 2 Angst 1 Auto 1 Diebstahl 1 Drohung 1 Erpressungsgeld 1 Film 1 Folter 1 Frau 1 Freiheitsberaubung 1 Gefahr 1 Geiselnahme 1 Gewalt 1 Hilfe 1 Keller 1 Kette 1 Kidnapper 1 Kind 1 Klebeband 1 Knebel 1 Lieferwagen 1 Opfer 1 Polizei 1 Sack 1 Seil 1 Strafe 1 Suche 1 Tochter 1 Transporter 1 Unternehmer 1 Van 1 Versteck 1"
